,Sample1,Sample2,Sample3,Sample4,Sample5
Gene001,16,28,100,57,81
Gene002,28,30,81,35,5
Gene003,15,0,74,74,27
Gene004,38,89,85,10,77
Gene005,93,68,96,12,81
Gene006,85,80,46,3,48
Gene007,6,65,41,90,67
Gene008,39,83,9,24,78
Gene009,71,74,77,43,79
Gene010,59,65,5,87,72
Gene011,72,47,72,74,19
Gene012,4,50,21,3,74
Gene013,78,45,40,35,69
Gene014,6,8,36,21,40
Gene015,5,41,2,42,81
Gene016,73,7,21,91,63
Gene017,8,34,72,64,100
Gene018,24,61,92,49,59
Gene019,70,69,14,49,65
Gene020,57,20,88,97,68
Gene021,6,32,29,5,30
Gene022,69,58,42,12,22
Gene023,85,19,34,61,47
Gene024,0,19,88,97,87
Gene025,12,7,27,64,15
Gene026,10,40,20,53,13
Gene027,67,6,4,97,60
Gene028,26,18,94,82,31
Gene029,65,56,71,84,71
Gene030,38,84,98,34,73
